1.27692545	0.28518277
1.27561350	0.28432594
1.27423463	0.28342754
1.27277870	0.28250908
1.27123511	0.28160106
1.26959240	0.28073089
1.26785598	0.27989086
1.26603957	0.27904864
1.26415814	0.27816697
1.26222318	0.27721740
1.26023760	0.27620209
1.25819361	0.27513566
1.25608055	0.27404958
1.25388320	0.27298612
1.25159698	0.27195606
1.24923649	0.27092911
1.24680872	0.26988662
1.24431346	0.26883259
1.24174568	0.26778677
1.23911351	0.26672756
1.23644221	0.26559320
1.23373469	0.26438584
1.23094718	0.26321435
1.22806109	0.26212781
1.22502914	0.26124492
1.22194069	0.26035106
1.21885688	0.25929222
1.21574714	0.25815491
1.21255054	0.25708915
1.20924033	0.25616564
1.20590730	0.25516183
1.20257193	0.25403072
1.19923968	0.25276358
1.19592300	0.25133304
1.19255377	0.24991176
1.18902813	0.24876167
1.18530432	0.24799172
1.18162650	0.24699388
1.17800781	0.24574678
1.17435390	0.24448382
1.17059654	0.24337966
1.16679650	0.24228728
1.16303054	0.24102245
1.15924906	0.23970975
1.15539649	0.23849245
1.15138494	0.23759527
1.14734801	0.23668575
1.14337273	0.23555515
1.13935762	0.23445851
1.13521013	0.23363332
1.13097862	0.23295894
1.12673282	0.23227078
1.12255671	0.23136098
1.11843491	0.23027477
1.11433154	0.22910441
1.11024634	0.22785490
1.10616065	0.22657632
1.10199806	0.22546594
1.09780799	0.22440219
1.09365327	0.22323715
1.08949471	0.22206891
1.08529050	0.22100742
1.08103692	0.22006652
1.07689485	0.21885108
1.07288711	0.21730821
1.06881769	0.21592935
1.06466550	0.21477345
1.06050075	0.21366597
1.05637804	0.21248258
1.05233900	0.21111632
1.04830014	0.20978512
1.04422430	0.20858616
1.04021745	0.20725564
1.03629748	0.20575743
1.03240227	0.20424550
1.02852993	0.20273677
1.02468759	0.20120958
1.02087804	0.19966809
1.01710008	0.19811624
1.01333170	0.19661096
1.00955971	0.19519360
1.00578626	0.19386129
1.00202145	0.19259352
0.99828009	0.19135602
0.99457678	0.19011850
0.99092288	0.18885554
0.98732388	0.18755741
0.98376336	0.18627030
0.98023071	0.18502471
0.97673050	0.18380986
0.97327254	0.18261024
0.96985459	0.18143074
0.96647622	0.18027935
0.96313286	0.17916685
0.95987799	0.17797086
0.95671986	0.17666779
0.95365111	0.17528329
0.95061512	0.17396159
0.94763012	0.17266058
0.94470068	0.17136949
0.94182522	0.17009926
0.93901057	0.16883422
0.93626345	0.16756070
0.93359044	0.16626804
0.93100435	0.16492185
0.92849536	0.16355667
0.92600816	0.16231079
0.92354048	0.16118910
0.92112422	0.16011818
0.91877886	0.15905097
0.91652137	0.15795031
0.91435285	0.15681426
0.91225582	0.15568997
0.91022218	0.15459804
0.90826438	0.15351109
0.90640181	0.15238407
0.90464587	0.15119053
0.90298390	0.14996187
0.90138327	0.14878549
0.89981300	0.14773687
0.89827177	0.14682195
0.89678248	0.14598586
0.89537020	0.14517083
0.89406056	0.14430811
0.89288744	0.14332436
0.89185472	0.14220278
0.89092291	0.14104743
0.89004946	0.13996323
0.88923173	0.13896206
0.88848497	0.13800166
0.88782489	0.13704981
0.88726560	0.13606619
0.88683317	0.13499309
0.88652071	0.13384717
0.88630664	0.13267736
0.88618602	0.13150144
0.88613106	0.13039104
0.88612605	0.12937839
0.88617047	0.12847347
0.88625082	0.12770462
0.88633820	0.12714543
0.88637952	0.12693030
0.88650162	0.12674043
0.88682985	0.12626696
0.88731031	0.12564024
0.88791531	0.12492993
0.88863425	0.12416651
0.88946287	0.12335477
0.89039408	0.12251535
0.89140156	0.12171098
0.89247958	0.12095536
0.89361323	0.12028477
0.89478743	0.11973848
0.89601400	0.11928205
0.89731001	0.11887632
0.89868602	0.11849181
0.90015490	0.11809314
0.90172804	0.11765387
0.90338828	0.11721515
0.90509211	0.11688087
0.90681406	0.11671676
0.90856368	0.11669330
0.91036962	0.11674188
0.91225397	0.11680358
0.91423865	0.11682348
