x y
0.96525583 0.08173134
0.96175613 0.08120892
0.95807795 0.08064192
0.95422252 0.08003302
0.95018925 0.07940713
0.94597600 0.07880874
0.94157726 0.07832275
0.93699079 0.07799641
0.93223117 0.07767809
0.92732566 0.07706676
0.92228002 0.07611724
0.91708172 0.07500171
0.91170591 0.07403928
0.90613714 0.07343817
0.90039688 0.07297017
0.89450492 0.07242712
0.88847540 0.07166921
0.88231976 0.07058874
0.87601611 0.06947415
0.86953187 0.06874143
0.86287655 0.06830799
0.85607902 0.06786267
0.84915395 0.06726305
0.84210141 0.06654074
0.83490946 0.06587007
0.82757961 0.06526682
0.82012238 0.06464029
0.81255614 0.06380756
0.80487577 0.06286475
0.79706362 0.06205682
0.78912430 0.06136558
0.78107158 0.06066500
0.77290538 0.05999346
0.76460000 0.05969360
0.75616192 0.05972725
0.74761983 0.05979329
0.73902391 0.05933650
0.73037538 0.05838226
0.72162027 0.05761067
0.71274212 0.05725781
0.70376216 0.05711328
0.69472624 0.05667495
0.68562832 0.05605658
0.67642820 0.05577707
0.66711427 0.05601666
0.65773495 0.05624435
0.64835297 0.05575998
0.63893369 0.05501757
0.62941422 0.05480669
0.61981252 0.05495856
0.61016184 0.05512329
0.60049478 0.05495904
0.59083343 0.05424895
0.58112160 0.05370385
0.57130693 0.05398974
0.56146344 0.05427436
0.55162923 0.05415167
0.54175925 0.05420104
0.53185117 0.05449596
0.52195337 0.05450859
0.51202923 0.05471873
0.50211165 0.05478229
0.49220755 0.05466310
0.48229322 0.05468827
0.47241369 0.05436958
0.46254679 0.05401584
0.45259435 0.05483656
0.44272699 0.05485492
0.43289060 0.05475801
0.42307244 0.05474242
0.41327653 0.05480598
0.40351965 0.05479493
0.39383941 0.05430868
0.38416065 0.05428319
0.37453893 0.05410467
0.36494825 0.05412582
0.35543060 0.05389337
0.34599509 0.05334345
0.33660537 0.05295068
0.32731640 0.05210744
0.31805409 0.05173515
0.30886011 0.05138281
0.29978305 0.05051717
0.29077152 0.04978977
0.28180934 0.04943432
0.27291408 0.04928433
0.26412105 0.04896240
0.25542563 0.04856390
0.24681970 0.04822572
0.23830326 0.04798771
0.22988164 0.04782628
0.22155814 0.04774129
0.21333561 0.04773743
0.20521538 0.04783703
0.19720867 0.04794472
0.18937342 0.04741060
0.18163317 0.04717757
0.17399294 0.04722199
0.16645362 0.04756848
0.15907232 0.04757518
0.15185740 0.04717679
0.14477425 0.04681730
0.13780841 0.04670101
0.13097492 0.04668195
0.12428736 0.04663070
0.11774987 0.04652917
0.11135438 0.04650331
0.10509869 0.04660886
0.09899296 0.04675429
0.09304384 0.04688885
0.08726383 0.04689201
0.08167407 0.04653981
0.07628426 0.04574326
0.07106052 0.04492932
0.06599569 0.04420728
0.06110021 0.04347711
0.05634770 0.04307442
0.05174312 0.04296277
0.04733320 0.04260932
0.04313131 0.04187623
0.03911663 0.04103002
0.03529701 0.03999662
0.03169504 0.03852625
0.02829866 0.03677903
0.02511372 0.03470220
0.02208211 0.03299999
0.01919708 0.03176720
0.01652970 0.03017519
0.01406652 0.02839639
0.01178638 0.02669358
0.00966165 0.02540568
0.00770693 0.02436985
0.00598010 0.02290946
0.00448909 0.02093898
0.00320642 0.01879198
0.00210603 0.01678410
0.00116135 0.01523606
0.00051495 0.01246292
0.00027337 0.00720590
0.00011868 0.00323683
0.00002698 0.00084119
0.00000000 0.00000000
0.00016670 -0.00081508
0.00063659 -0.00290260
0.00138314 -0.00594939
0.00241237 -0.01002915
0.00364583 -0.01421514
0.00495299 -0.01696409
0.00639085 -0.01895657
0.00805601 -0.02134354
0.00994117 -0.02404549
0.01202089 -0.02676824
0.01428496 -0.02939949
0.01671636 -0.03174673
0.01932299 -0.03391423
0.02214480 -0.03638662
0.02518758 -0.03924458
0.02842966 -0.04224429
0.03186253 -0.04529876
0.03545519 -0.04805505
0.03924200 -0.05093605
0.04325814 -0.05437525
0.04745956 -0.05786774
0.05182982 -0.06123665
0.05636658 -0.06447311
0.06105791 -0.06745555
0.06590930 -0.07026954
0.07093000 -0.07304599
0.07610642 -0.07564614
0.08142818 -0.07796978
0.08691815 -0.08031176
0.09260463 -0.08303201
0.09846901 -0.08593510
0.10448898 -0.08878273
0.11067445 -0.09171908
0.11699996 -0.09446975
0.12343948 -0.09675442
0.13000384 -0.09873037
0.13670993 -0.10062743
0.14355879 -0.10248832
0.15055427 -0.10438939
