eval,score,cl,cd
356,0.04157409849695526,-1.29359,0.018132
357,0.05355187952144769,-1.28227,0.017544
358,0.05326742273279328,-1.31049,0.017981
359,0.053126281720109414,-1.26517,0.0173
360,0.05061015148936343,-1.28053,0.01762
361,0.05020880157569435,-1.24558,0.017105
362,0.05363564516153335,-1.26383,0.017262
363,0.039421249278903114,-1.37784,0.019482
364,0.04992320679681306,-1.24532,0.017111
365,0.03195052820198463,-1.30748,0.018677
366,0.053105201889588005,-1.27642,0.017471
367,0.05375869762225005,-1.26517,0.017278
368,0.05267602995746978,-1.31032,0.017999
369,0.053806861128139705,-1.28279,0.017543
370,0.031440875669070056,-1.28946,0.018422
371,0.03655598840621638,-1.15328,0.016183
372,0.05379803520208548,-1.2794,0.017492
373,0.05183553807015617,-1.26108,0.017283
374,0.05370591271927261,-1.27714,0.017461
375,0.04992919372192495,-1.28729,0.017746
376,0.05379396748699772,-1.28243,0.017538
377,0.04337672311431584,-1.29291,0.018059
378,0.04836620576706907,-1.23335,0.016984
379,0.03287312177138091,-1.31634,0.018779
380,0.0539638024618464,-1.28249,0.017533
381,0.05382398088722684,-1.27979,0.017497
382,0.050667988364042515,-1.25985,0.017305
383,0.0476606818502458,-1.20781,0.016622
384,0.047092101998386426,-1.26174,0.017458
385,0.056104231490086476,-1.333,0.018223
386,0.04239405198525725,-1.29488,0.018123
387,0.05060439210204859,-1.28164,0.017637
388,0.04989151864409175,-1.24419,0.017095
389,0.053311867712778294,-1.27597,0.017457
390,0.05454373334698981,-1.29565,0.017712
391,0.050392096124175834,-1.25208,0.017197
392,0.047011385977305586,-1.28653,0.017836
393,0.054280310298897017,-1.28368,0.01754
394,0.05342212805076124,-1.26585,0.0173
395,0.04959279947302808,-1.28579,0.017735
396,0.0536615908466746,-1.26422,0.017267
397,0.053894474526762104,-1.28537,0.017579
398,0.05382850689115193,-1.27762,0.017464
399,0.05105374566274912,-1.28373,0.017653
400,0.049731952140748215,-1.2427,0.017078
