eval,score,cl,cd
1,0.11675545201708115,-1.01933,0.012129
2,-0.004218726707941878,-0.89726,0.013283
3,-0.02650885320529811,-0.72734,0.01133
4,0.08121075138601008,-1.07577,0.013824
5,-0.0867321746991177,-0.71814,0.012662
6,-0.0495828862771765,-0.81338,0.013156
7,0.016475410134474067,-0.99387,0.014198
8,-0.040932564948991446,-0.8651,0.013705
9,-0.0019085052831679938,-0.96236,0.014183
10,0.07929665576048317,-0.93903,0.011862
11,0.06841691867737532,-1.06524,0.013981
12,0.015174632784467068,-0.99464,0.014241
13,-0.004721742937253248,-0.89663,0.013286
14,-0.0635634162105917,-0.87597,0.014416
15,-0.004467564697111515,-0.89746,0.013292
16,0.07803523075227847,-1.19236,0.015614
17,-0.005613889382105164,-0.89835,0.013333
18,0.08560201531727774,-1.08421,0.013841
19,0.0354364950203796,-0.97882,0.013515
20,-0.045929350286025294,-0.85586,0.013691
21,0.06275833664287939,-0.91698,0.011941
22,-0.0021349837907593816,-0.90269,0.013312
23,0.08095646289501301,-1.09475,0.014109
24,0.07767807060208043,-1.07597,0.013913
25,-7.693588072144042e-05,-0.91577,0.013454
26,0.058309261677961244,-1.12445,0.015097
27,0.11715501117263666,-1.01584,0.012068
28,0.11235429332987301,-1.06125,0.012852
29,0.12539327290932,-1.15027,0.013842
30,0.0637294874438128,-1.05379,0.013927
31,0.11408836705427028,-1.07495,0.013011
32,0.07984454005391928,-1.18406,0.015448
33,0.08661360697855325,-1.08439,0.013819
34,0.14030990736483873,-1.10666,0.012838
35,0.1539030555961005,-1.10456,0.012476
36,0.04413132103000306,-1.06472,0.014565
37,0.08687496559380414,-1.04602,0.013249
38,0.04625630452367335,-0.91269,0.01228
39,0.08122768055589646,-1.07573,0.013823
40,0.13038423971175017,-1.0806,0.012697
41,0.06416645319639547,-0.98603,0.012921
42,-0.010419869835232798,-0.91761,0.013733
43,0.0855127295522472,-1.08413,0.013842
44,0.06041143846663888,-0.99723,0.013177
45,0.14341891012816466,-1.10991,0.01281
46,0.1363745042710781,-1.12396,0.013188
47,0.0780324231907944,-1.07506,0.013891
48,0.125447069842069,-1.14927,0.013826
49,0.1327948777269724,-1.10788,0.013039
50,0.08442368173670145,-1.08423,0.01387
51,0.10977878924966722,-1.18857,0.014785
52,0.10779222987820042,-0.9965,0.012012
53,0.1002306551231823,-1.08444,0.013488
54,0.16334015318072626,-1.10326,0.012227
55,0.06379870572490687,-0.99604,0.013077
56,0.12234853949908808,-1.15196,0.013941
57,0.16297443062477834,-1.10313,0.012234
58,0.14748575110034756,-1.12142,0.01288
59,0.13345742444025777,-1.10469,0.012976
60,0.13501434904550436,-1.12327,0.013211
61,0.19780161211074254,-1.16157,0.012244
62,0.12770449591184552,-1.07636,0.0127
63,0.11203872626876688,-0.99585,0.011899
64,0.15392717446114856,-1.1046,0.012476
65,0.1358496891345179,-1.12343,0.013193
66,0.15644271525123277,-1.10707,0.012451
67,0.1204107955221222,-1.01627,0.011995
68,0.15441137946613592,-1.10091,0.01241
69,0.10827185863805411,-1.04066,0.012649
70,0.15834155100975011,-1.10028,0.012305
71,0.082416727248664,-1.08308,0.013902
72,0.2359331138186075,-1.15578,0.01123
73,0.127243019971243,-1.08036,0.01277
74,0.16362867114433266,-1.10687,0.012273
75,0.18527562892717758,-1.07449,0.01127
76,0.23146310176314938,-1.16382,0.011457
77,0.11273240297085119,-1.07699,0.013074
78,0.13583646972309416,-1.12334,0.013192
79,0.15350038763668217,-1.13051,0.012867
80,0.16578216652668365,-1.10377,0.012175
81,0.16560769607805648,-1.1672,0.013111
82,0.1868811608453268,-1.15333,0.012389
83,0.15360785106118935,-1.10727,0.012523
84,0.14973137861958108,-1.09097,0.012378
85,0.19596931441276572,-1.08957,0.011231
86,0.15546766060025308,-1.16536,0.013331
87,0.14840251021405226,-1.08686,0.01235
88,0.19605605039823354,-1.08985,0.011233
89,0.2422144041908043,-1.15796,0.011109
90,0.19099671316127542,-1.09099,0.011373
91,0.17067588921299326,-1.09759,0.011965
92,0.09314708638565894,-1.02783,0.012829
93,0.23117390520433534,-1.163,0.011452
94,0.1488443208637722,-1.09052,0.012393
95,0.20191896729049086,-1.16622,0.012212
96,0.19536559587079938,-1.15576,0.012218
97,0.15263026060078988,-1.09251,0.01233
98,0.23979284343176271,-1.1647,0.011267
99,0.11718536938557511,-0.9745,0.01146
100,0.1951457495841003,-1.08092,0.011124
101,0.2436604087250397,-1.1656,0.011186
102,0.16293105176196188,-1.10122,0.012207
103,0.23219941661240734,-1.16402,0.011442
104,0.1985490810756137,-1.0899,0.011173
105,0.22903387302531397,-1.0926,0.01047
106,0.19999895686951963,-1.16147,0.012189
107,0.21711098725885236,-1.14029,0.011461
108,0.10636584715451763,-0.97412,0.011718
109,0.15143543730371872,-1.05084,0.011747
110,0.24270698061001839,-1.15796,0.011097
111,0.1854722896060252,-1.07468,0.011268
112,0.24183390782150138,-1.16897,0.01128
113,0.2370421110972118,-1.15653,0.011214
114,0.2258070089576834,-1.15655,0.011488
115,0.21137725195768314,-1.14072,0.011607
116,0.23671109007751256,-1.14257,0.011017
117,0.20156319539092615,-1.08707,0.011058
118,0.243261987808219,-1.16562,0.011196
119,0.22853549671160134,-1.09225,0.010477
120,0.23790001564934204,-1.16796,0.011361
121,0.2440527999255987,-1.16557,0.011176
122,0.202168210572775,-1.15649,0.012063
123,0.24157617355408284,-1.15554,0.011089
124,0.239633521029387,-1.16464,0.01127
125,0.16378443906946138,-1.05682,0.011534
126,0.2458521166405564,-1.1917,0.011516
127,0.24164227061120175,-1.15599,0.011094
128,0.20863774827929277,-1.11058,0.011231
129,0.22837027348392414,-1.15093,0.011343
130,0.20781066003359805,-1.09464,0.011017
131,0.2390495904492715,-1.16762,0.011328
132,0.2367762569774951,-1.14261,0.011016
133,0.24791313204338383,-1.15931,0.01099
134,0.2653664664312675,-1.24047,0.011757
135,0.23910244635480127,-1.16444,0.01128
136,0.2527136495745714,-1.19457,0.011391
137,0.24457203411934103,-1.16364,0.011135
138,0.23817276442196156,-1.17168,0.011409
