iteration,max_camber,max_camber_loc,max_thickness,max_thickness_loc,cl,cd,score,converged
0,0.02,0.4,0.1,0.3,,,-999.0,False
1,0.02812172681831621,0.38164730759049775,0.09471828247736545,0.26781094133531486,,,-999.0,False
2,0.024327038146623393,0.33095383909359155,0.11744811764216481,0.2771637929731469,,,-999.0,False
3,0.021595195480285493,0.3925188887356777,0.11462107937044974,0.23819577871507036,,,-999.0,False
4,0.018387913979932464,0.38847836935994756,0.11133769442335438,0.26700326198057905,,,-999.0,False
5,0.01913785896224782,0.3736642474623589,0.10042213746715593,0.31748445641147466,,,-999.0,False
6,0.014496904113935394,0.43434171129518845,0.10901590720592796,0.31507483016705606,,,-999.0,False
7,0.02450427974632206,0.37948816422477005,0.09877109774481352,0.27192691697222793,,,-999.0,False
8,0.018660559601869922,0.4159106640021456,0.09308339248274691,0.2880973941943207,,,-999.0,False
9,0.016564136499402003,0.37464383075503843,0.09328753869163181,0.29962006203243297,,,-999.0,False
10,0.014413448256823612,0.4070324709345128,0.11659802177109871,0.32226132481732006,,,-999.0,False
11,0.019040822238191927,0.37337113107745495,0.09252841706249162,0.3507736380308324,,,-999.0,False
12,0.020254038773880146,0.38089013060291943,0.10190915484667466,0.36300765409436525,,,-999.0,False
13,0.020600794762408146,0.4185160932912226,0.10300170319955829,0.28943250460519443,,,-999.0,False
14,0.014287409009889299,0.3895197183276137,0.09791105766625223,0.3175986957354659,,,-999.0,False
15,0.024194917069372525,0.4279330624391067,0.1028558732525426,0.32655423492812186,,,-999.0,False
16,0.016228010295016738,0.4375860446569987,0.1051292982041801,0.2910572149469185,,,-999.0,False
17,0.022442590732687485,0.39773284860936836,0.11131629387451428,0.34559450449266593,,,-999.0,False
18,0.030927877032665807,0.3581051099353559,0.08555886194570411,0.28486602411160644,,,-999.0,False
19,0.020800185347239153,0.4262850676334868,0.10315634947241606,0.2393339635252799,,,-999.0,False
20,0.018468979936858143,0.42483923927821743,0.10230094735364384,0.3228603354093607,,,-999.0,False
