iter,cl,cd,score,max_camber,max_camber_loc,max_thickness,max_thickness_loc,converged
0,,,-1,0.07998138601630832,0.6770124335984533,0.16460922578363557,0.3444867520209169,False
1,,,-1,0.0767626193977466,0.583055321381775,0.16601775630495436,0.3543116541260267,False
2,,,-1,0.05834473984082955,0.6328454965887765,0.14719119182977744,0.35524468093593625,False
3,,,-1,0.059227920502947604,0.6068303794913625,0.14369800222443113,0.3444625881441016,False
4,,,-1,0.07927317100670674,0.6001445484161743,0.17796285477018203,0.3230960985554656,False
5,-2.80794,0.02509,1.0167911731370198,0.029744063687185022,0.6696095171373468,0.1596298229418196,0.39317893467416803,True
6,,,-1,0.06125758851810334,0.6170614153748821,0.14516973470583983,0.3563257366347899,False
7,,,-1,0.06592532737854924,0.6092484706429834,0.1725196629150132,0.35434651905602865,False
8,,,-1,0.03444123367249358,0.6619145925470395,0.16039119698033882,0.3910082347768732,False
9,,,-1,0.06048426785584245,0.5341065476365264,0.11645531654227424,0.20251494305858556,False
10,,,-1,0.029170495910788876,0.6651686088419281,0.1408327939793305,0.2914094464162484,False
11,,,-1,0.026150271490739684,0.6703352116099384,0.1376058053237158,0.29588876833005284,False
12,,,-1,0.05319397479936892,0.5032662551370428,0.16349861644691693,0.3244494995776424,False
13,-2.75993,0.025712,0.999406134916008,0.025211898749946643,0.662018782515833,0.14192667100980766,0.2905748917515922,True
14,,,-1,0.05288162208970873,0.5033393706321694,0.1689337704119832,0.33405666793029376,False
15,-2.80573,0.025268,1.015990903725055,0.029559021813800573,0.6708706001058119,0.16005279447171183,0.39316360787273263,True
16,,,-1,0.027296390449630184,0.6643578001113861,0.16216581934302082,0.384903091030411,False
17,,,-1,0.06923984757345968,0.6799561598042956,0.17952025201030272,0.37010690551789704,False
18,,,-1,0.07404724950759493,0.5989719532207033,0.14969013241544946,0.3642110386806269,False
19,,,-1,0.06009972468600726,0.6998399783569141,0.10424287440038654,0.3697957634712382,False
20,,,-1,0.07369036341425858,0.6515560590559486,0.16568082703908388,0.2874388304690093,False
21,,,-1,0.06119359450471709,0.5353737948603539,0.11575026017499386,0.20092627279037845,False
22,-3.05333,0.026775,1.1056500468936148,0.06882470752147277,0.570504036206888,0.14161922206772593,0.2780691237502694,True
23,,,-1,0.06343046579896214,0.6379491604478543,0.1648485220481768,0.3865198341906242,False
24,-2.76555,0.025688,1.001441209167249,0.02607567936128783,0.6490631249781503,0.14247595059624144,0.2986834872923333,True
