iteration,cl,cd,score
0,0.23047,0.015388,-10
1,,,-1
2,-0.2899,0.014352,-0.22432825681931243
0,0.02573,0.013483,-10
1,,,-1
2,,,-1
0,,,-1
1,,,-1
2,,,-1
0,,,-1
1,0.01133,0.01478,-10
2,,,-1
