iteration,cl,cd,score
0,-1.08588,0.014499,0.060032413793103534
1,-1.13892,0.014661,0.08066932272950711
2,,,-100000000.0
3,,,-100000000.0
4,,,-100000000.0
5,-1.12381,0.014609,0.07497989983017117
