1.243871270489210312e+00 2.612419127142091568e-01
1.242742919118793976e+00 2.602969482755899677e-01
1.241552514774074911e+00 2.593140254091819141e-01
1.240301247883720759e+00 2.582916103209710323e-01
1.238990081925232412e+00 2.572288470719983344e-01
1.237620537347742466e+00 2.561234856078019595e-01
1.236193320899497738e+00 2.549755027119801065e-01
1.234708770528091692e+00 2.537859257537935509e-01
1.233166917984504840e+00 2.525566665237134467e-01
1.231567568590658635e+00 2.512903096894482657e-01
1.229909640028366447e+00 2.499918590649357064e-01
1.228192221039588139e+00 2.486659394349126639e-01
1.226413734529456345e+00 2.473190069707099092e-01
1.224573242193506495e+00 2.459559012005125278e-01
1.222669736951170094e+00 2.445817136472998032e-01
1.220702592155070709e+00 2.432005999619592795e-01
1.218677054857913999e+00 2.418012644268832667e-01
1.216593751428743264e+00 2.403846876166306767e-01
1.214452941240142358e+00 2.389528861135499782e-01
1.212253992920504286e+00 2.375102953193434785e-01
1.209996987913471322e+00 2.360595313885545665e-01
1.207683460490137861e+00 2.345994348346253089e-01
1.205317385590561896e+00 2.331224592872324641e-01
1.202901568986725067e+00 2.316242083880587499e-01
1.200435255860088368e+00 2.301097533210502144e-01
1.197913166103922178e+00 2.285961805724837370e-01
1.195331716686878654e+00 2.270961497393402806e-01
1.192687046333583245e+00 2.256231115477664306e-01
1.189973919965898741e+00 2.241942013122933952e-01
1.187200232168235337e+00 2.227919160340638693e-01
1.184380960583059750e+00 2.213800896608679736e-01
1.181522903048489948e+00 2.199442198770220624e-01
1.178623395287607734e+00 2.184948549234435322e-01
1.175674987947214589e+00 2.170552343767561121e-01
1.172669056635391449e+00 2.156517491811422715e-01
1.169603558490452722e+00 2.142934455376878100e-01
1.166490586948228048e+00 2.129520619841897833e-01
1.163340757813748461e+00 2.116032836740445178e-01
1.160157210530288641e+00 2.102425909953320737e-01
1.156940381673843721e+00 2.088726453867037758e-01
1.153694273067840559e+00 2.074867259949630949e-01
1.150418175740963500e+00 2.060905954470289014e-01
1.147100800051957581e+00 2.047180079409841036e-01
1.143727707427360851e+00 2.034110712916147312e-01
1.140279178354155265e+00 2.022258786569961497e-01
1.136769685574984035e+00 2.011282093905941148e-01
1.133235135114365910e+00 2.000272397219339804e-01
1.129694600700190010e+00 1.988766479553969457e-01
1.126143162914780893e+00 1.976935335488821388e-01
1.122568575606527563e+00 1.965143788806977265e-01
1.118960688365777889e+00 1.953701512119565553e-01
1.115319231666649591e+00 1.942657308671704164e-01
1.111665986561912067e+00 1.931477543724581247e-01
1.108009850076416836e+00 1.919969183783667155e-01
1.104345296247683184e+00 1.908320443160114732e-01
1.100668260383602881e+00 1.896681067544812027e-01
1.096966956335455157e+00 1.885404947011473931e-01
1.093232406083866293e+00 1.874771882677276347e-01
1.089472651103127188e+00 1.864612071961136985e-01
1.085709531848139120e+00 1.854391185556361898e-01
1.081954892632747134e+00 1.843839074574394610e-01
1.078205671038526159e+00 1.833079503358582274e-01
1.074448911597654543e+00 1.822497659305140627e-01
1.070677536068774360e+00 1.812323447848412927e-01
1.066888560821565912e+00 1.802678576669261012e-01
1.063088150384460473e+00 1.793443012182048546e-01
1.059283437788102189e+00 1.784471088830055785e-01
1.055484241226753328e+00 1.775546134088514527e-01
1.051698714355178810e+00 1.766495381300842160e-01
1.047933030304079471e+00 1.757198302085462016e-01
1.044185441084474197e+00 1.747743554409141031e-01
1.040453710069648263e+00 1.738232582117752167e-01
1.036737098661921097e+00 1.728727105933439978e-01
1.033035612875581100e+00 1.719269014053050326e-01
1.029351276625237510e+00 1.709846702420428632e-01
1.025684057671729210e+00 1.700502704599943515e-01
1.022033324749079819e+00 1.691295174737280915e-01
1.018394718865830662e+00 1.682380539044723844e-01
1.014766966848712482e+00 1.673833449632989578e-01
1.011152693371738742e+00 1.665625312756708054e-01
1.007559345252275307e+00 1.657599850798536500e-01
1.003994871863284954e+00 1.649587220268960708e-01
1.000459462935625155e+00 1.641622303070552347e-01
9.969504962750332933e-01 1.633813960447572655e-01
9.934640664670165711e-01 1.626304625509010782e-01
9.899988446357494976e-01 1.619168303878783521e-01
9.865566913861210097e-01 1.612394363122440222e-01
9.831418438054978504e-01 1.605908999057280018e-01
9.797695324714074117e-01 1.599347538977124172e-01
9.764573317542478703e-01 1.592282972532718388e-01
9.731971758016902951e-01 1.584965341546205053e-01
9.699750631038217552e-01 1.577801084018845557e-01
9.667794295873861632e-01 1.571131782780309794e-01
9.636025844860414136e-01 1.565196212307519708e-01
9.604579287535026655e-01 1.559675373323753944e-01
9.573561120764138010e-01 1.554322467652993478e-01
9.543060369479223759e-01 1.548936354698674800e-01
9.513153391736385300e-01 1.543348842024932499e-01
9.483775737545950824e-01 1.537763251769346529e-01
9.454753267183031440e-01 1.532672185754890282e-01
9.426211575629854789e-01 1.527775715843320559e-01
9.398502911854382802e-01 1.522174468157875549e-01
9.371557679250105410e-01 1.516083101256274213e-01
9.345229887205269703e-01 1.509917528732922787e-01
9.319597938320398622e-01 1.503500155917096015e-01
9.294520661623739688e-01 1.497232934398989856e-01
9.269726847312221851e-01 1.491860778603558979e-01
9.245284325962367378e-01 1.487232135654023291e-01
9.221557092746612838e-01 1.482412262609502096e-01
9.198614082586572538e-01 1.477245372884689323e-01
9.176244166507836475e-01 1.472315002017099694e-01
9.154418446474029691e-01 1.467722504498393532e-01
9.133292068192720992e-01 1.463082254149903061e-01
9.113170960364804785e-01 1.457609517465090487e-01
9.093969505802869113e-01 1.451553406568334981e-01
9.075453146207455024e-01 1.445555850633239436e-01
9.057595327183867173e-01 1.439708453413120481e-01
9.040526809082615189e-01 1.433686417712551620e-01
9.024297683792618097e-01 1.427377345662566022e-01
9.008883258985335152e-01 1.420865683354303188e-01
8.993896039684180499e-01 1.415193726687158648e-01
8.979428194616463355e-01 1.410135617260107332e-01
8.965786872432538468e-01 1.404896693110476713e-01
8.953017515665534498e-01 1.399373000256938226e-01
8.941024695779177245e-01 1.393832011409909533e-01
8.929927712215597335e-01 1.387973042544115576e-01
8.919849649361181188e-01 1.381484609000848129e-01
8.910457486246976533e-01 1.375259559916037766e-01
8.901380811553927241e-01 1.370288728325882999e-01
8.892844147904297447e-01 1.365990174939508972e-01
8.885268470411871178e-01 1.361262066697555839e-01
8.879011698551259046e-01 1.355168355016366233e-01
8.873795412785520087e-01 1.348453523332637238e-01
8.869166915460215961e-01 1.342321708637910782e-01
8.865225997590819862e-01 1.336516407272699547e-01
